"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"2010"	"2010"	"Jefferson County, AL"	"01073"	"Other opioids"	"T40.2"	15	658466	Unreliable
	"2010"	"2010"	"Jefferson County, AL"	"01073"	"Methadone"	"T40.3"	20	658466	3.0
	"2010"	"2010"	"Jefferson County, AL"	"01073"	"Other synthetic narcotics"	"T40.4"	10	658466	Unreliable
	"2010"	"2010"	"Shelby County, AL"	"01117"	"Other opioids"	"T40.2"	10	195085	Unreliable
	"2010"	"2010"	"Walker County, AL"	"01127"	"Other opioids"	"T40.2"	11	67023	Unreliable
	"2010"	"2010"	"Walker County, AL"	"01127"	"Methadone"	"T40.3"	10	67023	Unreliable
	"2010"	"2010"	"Anchorage Borough, AK"	"02020"	"Other opioids"	"T40.2"	19	291826	Unreliable
	"2010"	"2010"	"Anchorage Borough, AK"	"02020"	"Cocaine"	"T40.5"	11	291826	Unreliable
	"2010"	"2010"	"Maricopa County, AZ"	"04013"	"Heroin"	"T40.1"	60	3817117	1.6
	"2010"	"2010"	"Maricopa County, AZ"	"04013"	"Other opioids"	"T40.2"	187	3817117	4.9
	"2010"	"2010"	"Maricopa County, AZ"	"04013"	"Methadone"	"T40.3"	48	3817117	1.3
	"2010"	"2010"	"Maricopa County, AZ"	"04013"	"Other synthetic narcotics"	"T40.4"	35	3817117	0.9
	"2010"	"2010"	"Maricopa County, AZ"	"04013"	"Cocaine"	"T40.5"	44	3817117	1.2
	"2010"	"2010"	"Maricopa County, AZ"	"04013"	"Other and unspecified narcotics"	"T40.6"	39	3817117	1.0
	"2010"	"2010"	"Mohave County, AZ"	"04015"	"Other opioids"	"T40.2"	30	200186	15.0
	"2010"	"2010"	"Mohave County, AZ"	"04015"	"Methadone"	"T40.3"	19	200186	Unreliable
	"2010"	"2010"	"Pima County, AZ"	"04019"	"Heroin"	"T40.1"	23	980263	2.3
	"2010"	"2010"	"Pima County, AZ"	"04019"	"Other opioids"	"T40.2"	58	980263	5.9
	"2010"	"2010"	"Pima County, AZ"	"04019"	"Methadone"	"T40.3"	28	980263	2.9
	"2010"	"2010"	"Pima County, AZ"	"04019"	"Other synthetic narcotics"	"T40.4"	19	980263	Unreliable
	"2010"	"2010"	"Pima County, AZ"	"04019"	"Cocaine"	"T40.5"	26	980263	2.7
	"2010"	"2010"	"Pima County, AZ"	"04019"	"Other and unspecified narcotics"	"T40.6"	43	980263	4.4
	"2010"	"2010"	"Pinal County, AZ"	"04021"	"Other opioids"	"T40.2"	16	375770	Unreliable
	"2010"	"2010"	"Yavapai County, AZ"	"04025"	"Other opioids"	"T40.2"	17	211033	Unreliable
	"2010"	"2010"	"Garland County, AR"	"05051"	"Other opioids"	"T40.2"	10	96024	Unreliable
	"2010"	"2010"	"Pulaski County, AR"	"05119"	"Other opioids"	"T40.2"	26	382748	6.8
	"2010"	"2010"	"Pulaski County, AR"	"05119"	"Other synthetic narcotics"	"T40.4"	10	382748	Unreliable
	"2010"	"2010"	"Pulaski County, AR"	"05119"	"Cocaine"	"T40.5"	10	382748	Unreliable
	"2010"	"2010"	"Alameda County, CA"	"06001"	"Other opioids"	"T40.2"	23	1510271	1.5
	"2010"	"2010"	"Alameda County, CA"	"06001"	"Cocaine"	"T40.5"	17	1510271	Unreliable
	"2010"	"2010"	"Butte County, CA"	"06007"	"Other opioids"	"T40.2"	11	220000	Unreliable
	"2010"	"2010"	"Contra Costa County, CA"	"06013"	"Other opioids"	"T40.2"	17	1049025	Unreliable
	"2010"	"2010"	"Contra Costa County, CA"	"06013"	"Cocaine"	"T40.5"	15	1049025	Unreliable
	"2010"	"2010"	"Fresno County, CA"	"06019"	"Other opioids"	"T40.2"	48	930450	5.2
	"2010"	"2010"	"Fresno County, CA"	"06019"	"Methadone"	"T40.3"	20	930450	2.1
	"2010"	"2010"	"Humboldt County, CA"	"06023"	"Other opioids"	"T40.2"	13	134623	Unreliable
	"2010"	"2010"	"Kern County, CA"	"06029"	"Heroin"	"T40.1"	24	839631	2.9
	"2010"	"2010"	"Kern County, CA"	"06029"	"Other opioids"	"T40.2"	11	839631	Unreliable
	"2010"	"2010"	"Lake County, CA"	"06033"	"Other opioids"	"T40.2"	16	64665	Unreliable
	"2010"	"2010"	"Los Angeles County, CA"	"06037"	"Heroin"	"T40.1"	133	9818605	1.4
	"2010"	"2010"	"Los Angeles County, CA"	"06037"	"Other opioids"	"T40.2"	167	9818605	1.7
	"2010"	"2010"	"Los Angeles County, CA"	"06037"	"Methadone"	"T40.3"	24	9818605	0.2
	"2010"	"2010"	"Los Angeles County, CA"	"06037"	"Other synthetic narcotics"	"T40.4"	22	9818605	0.2
	"2010"	"2010"	"Los Angeles County, CA"	"06037"	"Cocaine"	"T40.5"	89	9818605	0.9
	"2010"	"2010"	"Los Angeles County, CA"	"06037"	"Other and unspecified narcotics"	"T40.6"	27	9818605	0.3
	"2010"	"2010"	"Marin County, CA"	"06041"	"Other opioids"	"T40.2"	15	252409	Unreliable
	"2010"	"2010"	"Orange County, CA"	"06059"	"Other opioids"	"T40.2"	173	3010232	5.7
	"2010"	"2010"	"Orange County, CA"	"06059"	"Methadone"	"T40.3"	53	3010232	1.8
	"2010"	"2010"	"Orange County, CA"	"06059"	"Other synthetic narcotics"	"T40.4"	29	3010232	1.0
	"2010"	"2010"	"Orange County, CA"	"06059"	"Cannabis (derivatives)"	"T40.7"	24	3010232	0.8
	"2010"	"2010"	"Riverside County, CA"	"06065"	"Heroin"	"T40.1"	35	2189641	1.6
	"2010"	"2010"	"Riverside County, CA"	"06065"	"Other opioids"	"T40.2"	44	2189641	2.0
	"2010"	"2010"	"Riverside County, CA"	"06065"	"Methadone"	"T40.3"	22	2189641	1.0
	"2010"	"2010"	"Riverside County, CA"	"06065"	"Other synthetic narcotics"	"T40.4"	12	2189641	Unreliable
	"2010"	"2010"	"Riverside County, CA"	"06065"	"Cocaine"	"T40.5"	11	2189641	Unreliable
	"2010"	"2010"	"Riverside County, CA"	"06065"	"Other and unspecified narcotics"	"T40.6"	23	2189641	1.1
	"2010"	"2010"	"Sacramento County, CA"	"06067"	"Other opioids"	"T40.2"	34	1418788	2.4
	"2010"	"2010"	"Sacramento County, CA"	"06067"	"Methadone"	"T40.3"	33	1418788	2.3
	"2010"	"2010"	"Sacramento County, CA"	"06067"	"Other synthetic narcotics"	"T40.4"	10	1418788	Unreliable
	"2010"	"2010"	"Sacramento County, CA"	"06067"	"Cocaine"	"T40.5"	14	1418788	Unreliable
	"2010"	"2010"	"Sacramento County, CA"	"06067"	"Other and unspecified narcotics"	"T40.6"	19	1418788	Unreliable
	"2010"	"2010"	"San Bernardino County, CA"	"06071"	"Heroin"	"T40.1"	11	2035210	Unreliable
