GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US01003,01003,"Baldwin County, Alabama",70259,2730,46918,2725,N,N,23341,2709,6.6,2.2,4.7,2.7,N,N,12.2,3.7,5.3,1.3,3.3,1.3,N,N,9.3,3.0,14.5,2.4,9.5,3.1,N,N,26.1,5.5,11.1,2.4,7.2,2.1,N,N,17.2,4.7,16.8,2.9,16.3,3.1,N,N,17.5,4.9,16.6,2.9,19.5,3.5,N,N,10.7,3.5,11.4,2.1,14.5,3.2,N,N,4.4,1.8,10.4,1.9,14.6,2.6,N,N,2.0,1.4,3.4,1.4,4.8,2.1,N,N,0.2,0.3,3.9,1.4,5.6,2.0,N,N,0.4,0.6,44874,4150,59569,5488,67094,4741,26810,4182,65071,4760,80399,6618,N,N,32771,2987,29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.4,(X)
0500000US01015,01015,"Calhoun County, Alabama",43851,1874,28572,2139,18103,1561,15279,1712,14.0,2.8,11.0,3.3,3.7,2.0,19.8,5.1,7.3,2.0,3.8,2.1,2.8,1.9,14.9,4.1,12.2,2.7,9.8,2.9,7.2,3.1,17.4,5.0,15.3,3.2,13.8,4.5,8.7,3.5,20.3,4.8,15.5,2.8,15.3,3.1,18.9,4.4,13.6,4.3,17.1,2.7,20.8,3.7,24.0,4.2,8.3,3.0,8.7,1.7,12.5,2.4,15.4,3.4,2.9,1.9,6.6,1.5,9.0,2.3,13.5,3.4,1.3,1.3,1.8,0.9,2.3,1.3,3.6,2.0,0.3,0.6,1.4,0.9,1.5,1.1,2.1,1.6,1.1,1.9,36205,3402,45486,5100,58557,5153,23678,2996,48969,3490,57820,5299,N,N,30925,5415,31.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.4,(X)
0500000US01043,01043,"Cullman County, Alabama",32225,1220,23822,1485,N,N,8403,1229,12.0,3.0,7.4,3.1,N,N,25.8,6.4,5.6,1.8,2.2,1.3,N,N,15.1,6.2,12.4,2.8,9.6,2.6,N,N,21.5,7.0,11.2,2.8,12.4,3.4,N,N,7.9,5.3,19.4,4.4,19.7,5.0,N,N,19.0,7.2,17.6,3.5,20.9,4.2,N,N,6.0,4.9,9.5,3.0,11.4,3.7,N,N,4.0,3.2,8.3,2.8,11.1,3.8,N,N,0.5,0.7,2.2,1.0,2.8,1.3,N,N,0.0,1.8,1.9,1.0,2.5,1.4,N,N,0.1,0.2,39936,3154,47541,6675,56949,6793,17398,3493,53101,3590,62523,4526,N,N,25221,2908,23.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),21.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.5,(X)
0500000US01049,01049,"DeKalb County, Alabama",22754,1532,16208,1551,N,N,6546,1106,8.4,2.4,4.2,1.9,N,N,18.7,7.3,6.7,2.3,3.0,1.9,N,N,16.3,6.4,15.9,3.8,9.7,3.2,N,N,34.8,9.8,11.1,3.2,10.2,3.7,N,N,12.8,5.8,20.6,4.4,26.0,5.8,N,N,4.6,3.7,19.9,4.4,24.5,5.7,N,N,8.3,7.1,9.4,3.1,11.5,3.8,N,N,4.0,4.7,6.4,2.6,8.8,3.7,N,N,0.5,0.6,0.9,0.8,1.3,1.2,N,N,0.0,2.3,0.6,0.5,0.8,0.7,N,N,0.0,2.3,40876,7020,48241,3270,52382,4909,18536,3117,47583,4003,56123,4207,N,N,25085,5190,22.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),21.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.9,(X)
0500000US01051,01051,"Elmore County, Alabama",28292,1265,19815,1956,N,N,8477,1603,6.9,2.8,3.3,2.5,N,N,15.4,6.9,5.4,2.2,2.2,2.2,N,N,12.9,5.2,9.1,2.7,7.1,2.7,N,N,15.0,6.9,13.3,3.9,13.3,5.1,N,N,16.6,6.6,14.7,3.4,13.3,3.9,N,N,14.2,6.5,21.2,3.8,22.1,4.5,N,N,19.3,6.3,13.7,3.7,16.9,4.7,N,N,5.5,4.4,11.9,3.2,16.5,4.5,N,N,1.0,1.7,2.0,1.2,2.8,1.7,N,N,0.0,1.8,1.8,1.1,2.6,1.6,N,N,0.0,1.8,50699,6535,61597,6101,72598,4915,30345,6920,62534,5390,74498,8119,N,N,33321,4460,30.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X)
0500000US01055,01055,"Etowah County, Alabama",40135,1398,28084,1434,N,N,12051,1332,9.6,2.0,6.4,2.1,N,N,20.0,5.9,7.6,2.1,4.7,2.3,N,N,13.1,4.6,16.6,3.1,11.4,2.8,N,N,29.2,7.7,11.5,2.3,10.8,2.6,N,N,13.2,4.7,14.9,2.3,16.9,3.0,N,N,10.5,3.8,19.1,3.0,21.9,3.6,N,N,10.4,5.0,9.6,1.8,12.9,2.5,N,N,2.0,1.7,8.3,1.9,11.6,2.6,N,N,1.2,1.5,1.7,0.8,2.2,1.1,N,N,0.0,1.3,1.0,0.6,1.2,0.8,N,N,0.6,0.8,39459,4190,49858,3041,60491,4270,19685,2405,50005,2725,59101,3561,N,N,27483,3165,34.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.4,(X)
0500000US01069,01069,"Houston County, Alabama",40448,776,26300,1002,17985,876,14148,813,9.9,1.2,7.2,1.1,1.3,0.6,16.8,2.6,7.6,1.1,4.1,1.2,1.3,0.9,14.3,2.8,14.3,1.4,9.5,1.4,6.1,1.4,23.0,3.1,12.9,1.5,12.0,1.9,10.4,1.9,14.4,2.6,16.5,1.5,17.2,2.1,18.1,2.9,13.5,2.4,15.2,1.5,18.5,2.2,21.1,2.6,9.2,2.0,12.2,1.7,15.7,2.2,21.1,3.0,5.3,2.3,7.2,1.2,10.1,1.6,13.1,2.4,1.7,1.0,1.8,0.4,2.4,0.6,3.1,0.8,0.6,0.6,2.5,0.6,3.3,0.8,4.4,1.1,1.0,0.5,39006,2192,50032,2458,64383,3606,22328,2443,54174,2003,64611,2732,N,N,33679,3169,32.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X)
0500000US01073,01073,"Jefferson County, Alabama",257398,4051,161960,4566,102313,3977,95438,4223,10.5,1.0,6.7,1.0,1.6,0.5,17.9,2.0,6.3,0.8,4.0,0.8,1.4,0.7,10.8,1.5,11.7,1.0,9.0,1.2,5.3,0.9,17.1,2.1,11.0,1.1,9.5,1.1,7.3,1.1,13.7,2.0,14.1,1.1,13.6,1.3,12.1,1.5,14.5,2.1,17.6,1.2,18.7,1.5,19.9,1.8,15.0,1.6,9.6,0.9,12.4,1.3,15.6,2.0,4.8,1.0,11.0,1.0,15.0,1.5,20.5,2.3,3.2,1.0,3.9,0.6,5.3,0.9,7.5,1.3,1.4,0.7,4.2,0.6,5.8,0.8,8.9,1.3,1.6,0.9,45013,1634,59172,2521,80143,4635,27153,1706,66732,2301,81526,3433,104494,5086,40078,2979,34.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.8,(X)
0500000US01077,01077,"Lauderdale County, Alabama",39433,1143,25752,1506,N,N,13681,1397,8.8,2.2,6.3,2.9,N,N,17.2,5.1,8.1,2.2,2.8,1.7,N,N,18.3,6.0,13.1,2.5,9.6,2.9,N,N,17.1,4.6,9.3,2.3,7.9,2.5,N,N,13.4,4.5,18.4,3.6,18.7,4.1,N,N,16.4,5.7,19.9,3.3,24.7,4.1,N,N,10.9,4.4,9.6,2.3,12.3,3.4,N,N,4.5,2.6,9.2,2.6,12.7,3.7,N,N,1.2,1.3,1.6,0.8,2.5,1.2,N,N,0.0,1.1,2.0,1.2,2.5,1.7,N,N,1.0,1.6,43891,1975,55391,7524,62459,4604,22937,4034,55690,4384,67627,6208,N,N,30943,4176,39.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),36.9,(X)
